,belief_metric_threshold,deffuant_mu,high_media_lit,mean_disinformer,mean_normal_user,n_edges,n_posts_estimate_similarity,ratio_normal_user,sampling_p_update,mlit_select,del_t,rank_punish,rank_t,strikes_t,scenario,policy,model
17,76.0,0.0262884099780179,0.2778727352722803,11.0,0.0,3.0,10.0,0.9900284717459232,0.0131598062493048,100.0,0.0,0.0,50.0,10.0,17,0,MisinfoPy
18,77.0,0.0116034383185158,0.2650675266546597,10.0,2.0,3.0,9.0,0.9809674931097712,0.0225062172254371,100.0,0.0,0.0,50.0,10.0,18,0,MisinfoPy
19,75.0,0.0245495458467838,0.2995535167375782,8.0,2.0,3.0,13.0,0.9916351363227272,0.0159203507441027,100.0,0.0,0.0,50.0,10.0,19,0,MisinfoPy
20,77.0,0.0274905572860094,0.312217140634846,11.0,1.0,3.0,12.0,0.988418041320472,0.0142847858302271,100.0,0.0,0.0,50.0,10.0,20,0,MisinfoPy
21,77.0,0.0189941371533705,0.3356417602280681,11.0,2.0,3.0,14.0,0.9872028857311952,0.0124192607782816,100.0,0.0,0.0,50.0,10.0,21,0,MisinfoPy
22,77.0,0.0209604081962267,0.3081888688713352,9.0,0.0,3.0,7.0,0.9836883241383853,0.0116051822505563,100.0,0.0,0.0,50.0,10.0,22,0,MisinfoPy
23,79.0,0.0178985826731951,0.3458139345594649,10.0,1.0,2.0,8.0,0.990446543502186,0.0144989000702763,100.0,0.0,0.0,50.0,10.0,23,0,MisinfoPy
24,77.0,0.0212183466860608,0.2585322053555808,8.0,0.0,2.0,9.0,0.982067473472522,0.019221119320182,100.0,0.0,0.0,50.0,10.0,24,0,MisinfoPy
25,78.0,0.0171644281469936,0.2510343763655922,8.0,1.0,3.0,5.0,0.9844741116573644,0.0245240370892637,100.0,0.0,0.0,50.0,10.0,25,0,MisinfoPy
26,78.0,0.0141011164881213,0.2543645554602683,8.0,2.0,2.0,15.0,0.980570006865624,0.0105600809635183,100.0,0.0,0.0,50.0,10.0,26,0,MisinfoPy
27,77.0,0.0288039002002594,0.3339062572471228,8.0,2.0,2.0,14.0,0.9876688535452244,0.0282027823293031,100.0,0.0,0.0,50.0,10.0,27,0,MisinfoPy
28,76.0,0.012448846621896,0.2811195063142473,9.0,2.0,2.0,8.0,0.988782767814109,0.0108767484183907,100.0,0.0,0.0,50.0,10.0,28,0,MisinfoPy
29,79.0,0.0205464375359693,0.2919314348444234,12.0,1.0,3.0,9.0,0.9871723974749688,0.0229932059028394,100.0,0.0,0.0,50.0,10.0,29,0,MisinfoPy
30,75.0,0.010048341660904,0.3143371026457791,8.0,2.0,2.0,10.0,0.9941862919647434,0.0175953677659886,100.0,0.0,0.0,50.0,10.0,30,0,MisinfoPy
31,75.0,0.0267889428556949,0.3432136850880645,10.0,0.0,2.0,10.0,0.980839650082909,0.0265630001792501,100.0,0.0,0.0,50.0,10.0,31,0,MisinfoPy
32,75.0,0.0193899750225625,0.3001333701207734,12.0,0.0,3.0,15.0,0.9832082300963012,0.0204426076380287,100.0,0.0,0.0,50.0,10.0,32,0,MisinfoPy
33,79.0,0.0180559652549399,0.2798633794927822,9.0,1.0,3.0,11.0,0.9949649761964962,0.0165466737019088,100.0,0.0,0.0,50.0,10.0,33,0,MisinfoPy
34,76.0,0.0227140740920445,0.3368246697878725,8.0,0.0,3.0,14.0,0.9857188734506308,0.0234660955643312,100.0,0.0,0.0,50.0,10.0,34,0,MisinfoPy
35,75.0,0.0248722130915869,0.2848274272775347,11.0,0.0,3.0,13.0,0.9841799573680928,0.021236196859546,100.0,0.0,0.0,50.0,10.0,35,0,MisinfoPy
36,77.0,0.0174922242008906,0.2660267522760609,12.0,2.0,3.0,12.0,0.9863372938435412,0.01687817970596,100.0,0.0,0.0,50.0,10.0,36,0,MisinfoPy
37,76.0,0.0134072426919024,0.2951769716109299,12.0,0.0,2.0,9.0,0.9866891448561678,0.0222635906039256,100.0,0.0,0.0,50.0,10.0,37,0,MisinfoPy
38,78.0,0.0128122553893868,0.3223137647319514,9.0,2.0,2.0,12.0,0.9911871047293532,0.0250664719876734,100.0,0.0,0.0,50.0,10.0,38,0,MisinfoPy
39,76.0,0.025602344875336,0.2534461816563311,9.0,2.0,2.0,7.0,0.9906275873054028,0.0290558105065178,100.0,0.0,0.0,50.0,10.0,39,0,MisinfoPy
40,77.0,0.0240759905631581,0.2976823576069445,8.0,1.0,2.0,5.0,0.9944527233446816,0.0254923023964972,100.0,0.0,0.0,50.0,10.0,40,0,MisinfoPy
41,79.0,0.0268499739730088,0.3203072837914983,10.0,0.0,2.0,15.0,0.9933952793096776,0.0188826506970489,100.0,0.0,0.0,50.0,10.0,41,0,MisinfoPy
42,78.0,0.0187560997332204,0.3259081363072013,12.0,1.0,3.0,8.0,0.9939547475744324,0.0198510707070524,100.0,0.0,0.0,50.0,10.0,42,0,MisinfoPy
43,75.0,0.0253410461441071,0.3396844646252156,9.0,2.0,3.0,6.0,0.9931745327114798,0.0177279686640718,100.0,0.0,0.0,50.0,10.0,43,0,MisinfoPy
44,80.0,0.0161685803509148,0.3044675021765791,10.0,0.0,3.0,7.0,0.9814755221372012,0.0296119659563395,100.0,0.0,0.0,50.0,10.0,44,0,MisinfoPy
45,76.0,0.0292784707204162,0.3116418414654133,11.0,1.0,3.0,13.0,0.9882869853935184,0.0208771543637324,100.0,0.0,0.0,50.0,10.0,45,0,MisinfoPy
46,76.0,0.0156293030093474,0.2834463496847514,12.0,0.0,3.0,8.0,0.9821409560417576,0.0113338955165811,100.0,0.0,0.0,50.0,10.0,46,0,MisinfoPy
47,79.0,0.0114317577284685,0.2930366811125681,8.0,2.0,2.0,6.0,0.992160479381022,0.0216626715011127,100.0,0.0,0.0,50.0,10.0,47,0,MisinfoPy
48,80.0,0.0218953129930909,0.3275693993033615,11.0,0.0,3.0,7.0,0.9833413177362758,0.0184663751497411,100.0,0.0,0.0,50.0,10.0,48,0,MisinfoPy
49,79.0,0.019907872288691,0.2606261146969253,12.0,0.0,2.0,12.0,0.9896398557743792,0.025697594767068,100.0,0.0,0.0,50.0,10.0,49,0,MisinfoPy
50,80.0,0.0299253839649301,0.2686036932278577,11.0,2.0,2.0,5.0,0.985177411651043,0.0203407351222199,100.0,0.0,10.0,10.0,50.0,0,1,MisinfoPy
51,79.0,0.0111337533725977,0.2734148754443381,8.0,0.0,3.0,6.0,0.9936622762534888,0.0155041632991381,100.0,0.0,10.0,10.0,50.0,1,1,MisinfoPy
52,80.0,0.0150658899662497,0.3165026774305036,10.0,1.0,2.0,6.0,0.9817120085306312,0.0274639197892285,100.0,0.0,10.0,10.0,50.0,2,1,MisinfoPy
53,75.0,0.0104389416481989,0.2898453201200917,12.0,0.0,3.0,10.0,0.982717701047632,0.0263952393509819,100.0,0.0,10.0,10.0,50.0,3,1,MisinfoPy
54,80.0,0.0229946884963286,0.2715953720241978,11.0,2.0,3.0,15.0,0.9847023205679452,0.0120140444315901,100.0,0.0,10.0,10.0,50.0,4,1,MisinfoPy
55,78.0,0.0286360800071595,0.318132389957697,10.0,2.0,3.0,12.0,0.9909461643639204,0.0135154234083271,100.0,0.0,10.0,10.0,50.0,5,1,MisinfoPy
56,79.0,0.0279833720912671,0.2750677270263837,9.0,1.0,3.0,11.0,0.991743563560276,0.0243113637389133,100.0,0.0,10.0,10.0,50.0,6,1,MisinfoPy
57,76.0,0.0123313262967474,0.3315017509095029,9.0,0.0,2.0,5.0,0.9824558707336154,0.0293784887081614,100.0,0.0,10.0,10.0,50.0,7,1,MisinfoPy
58,78.0,0.0222805181799654,0.2632350410263794,11.0,2.0,2.0,14.0,0.9856428572107112,0.0181098169629521,100.0,0.0,10.0,10.0,50.0,8,1,MisinfoPy
59,80.0,0.0144410727229284,0.3030974724516627,9.0,1.0,3.0,8.0,0.9891207245090112,0.0162337916865862,100.0,0.0,10.0,10.0,50.0,9,1,MisinfoPy
60,80.0,0.0155199996825442,0.2876152247375163,10.0,1.0,2.0,7.0,0.9895733215267214,0.0136408701086872,100.0,0.0,10.0,10.0,50.0,10,1,MisinfoPy
61,80.0,0.0283798347978142,0.3075987666071173,12.0,1.0,2.0,13.0,0.9880391573835796,0.0268381909236415,100.0,0.0,10.0,10.0,50.0,11,1,MisinfoPy
62,78.0,0.0238742516506969,0.34053153415885,12.0,1.0,2.0,11.0,0.986251055312106,0.028622735346571,100.0,0.0,10.0,10.0,50.0,12,1,MisinfoPy
63,78.0,0.0202334681746995,0.328822048933258,10.0,0.0,2.0,11.0,0.9926659418264364,0.0279605818990789,100.0,0.0,10.0,10.0,50.0,13,1,MisinfoPy
64,78.0,0.0165423682564252,0.2571720798856116,10.0,1.0,2.0,11.0,0.9800439002137042,0.0238483213618672,100.0,0.0,10.0,10.0,50.0,14,1,MisinfoPy
65,75.0,0.0139572578643493,0.3467476677429714,11.0,2.0,2.0,6.0,0.9925621159078512,0.0149587379329587,100.0,0.0,10.0,10.0,50.0,15,1,MisinfoPy
66,76.0,0.0234024663547501,0.3490911018401743,9.0,1.0,2.0,15.0,0.985022263214491,0.0100232012141731,100.0,0.0,10.0,10.0,50.0,16,1,MisinfoPy
67,76.0,0.0262884099780179,0.2778727352722803,11.0,0.0,3.0,10.0,0.9900284717459232,0.0131598062493048,100.0,0.0,10.0,10.0,50.0,17,1,MisinfoPy
68,77.0,0.0116034383185158,0.2650675266546597,10.0,2.0,3.0,9.0,0.9809674931097712,0.0225062172254371,100.0,0.0,10.0,10.0,50.0,18,1,MisinfoPy
69,75.0,0.0245495458467838,0.2995535167375782,8.0,2.0,3.0,13.0,0.9916351363227272,0.0159203507441027,100.0,0.0,10.0,10.0,50.0,19,1,MisinfoPy
70,77.0,0.0274905572860094,0.312217140634846,11.0,1.0,3.0,12.0,0.988418041320472,0.0142847858302271,100.0,0.0,10.0,10.0,50.0,20,1,MisinfoPy
71,77.0,0.0189941371533705,0.3356417602280681,11.0,2.0,3.0,14.0,0.9872028857311952,0.0124192607782816,100.0,0.0,10.0,10.0,50.0,21,1,MisinfoPy
72,77.0,0.0209604081962267,0.3081888688713352,9.0,0.0,3.0,7.0,0.9836883241383853,0.0116051822505563,100.0,0.0,10.0,10.0,50.0,22,1,MisinfoPy
73,79.0,0.0178985826731951,0.3458139345594649,10.0,1.0,2.0,8.0,0.990446543502186,0.0144989000702763,100.0,0.0,10.0,10.0,50.0,23,1,MisinfoPy
74,77.0,0.0212183466860608,0.2585322053555808,8.0,0.0,2.0,9.0,0.982067473472522,0.019221119320182,100.0,0.0,10.0,10.0,50.0,24,1,MisinfoPy
75,78.0,0.0171644281469936,0.2510343763655922,8.0,1.0,3.0,5.0,0.9844741116573644,0.0245240370892637,100.0,0.0,10.0,10.0,50.0,25,1,MisinfoPy
76,78.0,0.0141011164881213,0.2543645554602683,8.0,2.0,2.0,15.0,0.980570006865624,0.0105600809635183,100.0,0.0,10.0,10.0,50.0,26,1,MisinfoPy
77,77.0,0.0288039002002594,0.3339062572471228,8.0,2.0,2.0,14.0,0.9876688535452244,0.0282027823293031,100.0,0.0,10.0,10.0,50.0,27,1,MisinfoPy
78,76.0,0.012448846621896,0.2811195063142473,9.0,2.0,2.0,8.0,0.988782767814109,0.0108767484183907,100.0,0.0,10.0,10.0,50.0,28,1,MisinfoPy
79,79.0,0.0205464375359693,0.2919314348444234,12.0,1.0,3.0,9.0,0.9871723974749688,0.0229932059028394,100.0,0.0,10.0,10.0,50.0,29,1,MisinfoPy
80,75.0,0.010048341660904,0.3143371026457791,8.0,2.0,2.0,10.0,0.9941862919647434,0.0175953677659886,100.0,0.0,10.0,10.0,50.0,30,1,MisinfoPy
81,75.0,0.0267889428556949,0.3432136850880645,10.0,0.0,2.0,10.0,0.980839650082909,0.0265630001792501,100.0,0.0,10.0,10.0,50.0,31,1,MisinfoPy
82,75.0,0.0193899750225625,0.3001333701207734,12.0,0.0,3.0,15.0,0.9832082300963012,0.0204426076380287,100.0,0.0,10.0,10.0,50.0,32,1,MisinfoPy
83,79.0,0.0180559652549399,0.2798633794927822,9.0,1.0,3.0,11.0,0.9949649761964962,0.0165466737019088,100.0,0.0,10.0,10.0,50.0,33,1,MisinfoPy
84,76.0,0.0227140740920445,0.3368246697878725,8.0,0.0,3.0,14.0,0.9857188734506308,0.0234660955643312,100.0,0.0,10.0,10.0,50.0,34,1,MisinfoPy
85,75.0,0.0248722130915869,0.2848274272775347,11.0,0.0,3.0,13.0,0.9841799573680928,0.021236196859546,100.0,0.0,10.0,10.0,50.0,35,1,MisinfoPy
86,77.0,0.0174922242008906,0.2660267522760609,12.0,2.0,3.0,12.0,0.9863372938435412,0.01687817970596,100.0,0.0,10.0,10.0,50.0,36,1,MisinfoPy
87,76.0,0.0134072426919024,0.2951769716109299,12.0,0.0,2.0,9.0,0.9866891448561678,0.0222635906039256,100.0,0.0,10.0,10.0,50.0,37,1,MisinfoPy
88,78.0,0.0128122553893868,0.3223137647319514,9.0,2.0,2.0,12.0,0.9911871047293532,0.0250664719876734,100.0,0.0,10.0,10.0,50.0,38,1,MisinfoPy
89,76.0,0.025602344875336,0.2534461816563311,9.0,2.0,2.0,7.0,0.9906275873054028,0.0290558105065178,100.0,0.0,10.0,10.0,50.0,39,1,MisinfoPy
90,77.0,0.0240759905631581,0.2976823576069445,8.0,1.0,2.0,5.0,0.9944527233446816,0.0254923023964972,100.0,0.0,10.0,10.0,50.0,40,1,MisinfoPy
91,79.0,0.0268499739730088,0.3203072837914983,10.0,0.0,2.0,15.0,0.9933952793096776,0.0188826506970489,100.0,0.0,10.0,10.0,50.0,41,1,MisinfoPy
92,78.0,0.0187560997332204,0.3259081363072013,12.0,1.0,3.0,8.0,0.9939547475744324,0.0198510707070524,100.0,0.0,10.0,10.0,50.0,42,1,MisinfoPy
93,75.0,0.0253410461441071,0.3396844646252156,9.0,2.0,3.0,6.0,0.9931745327114798,0.0177279686640718,100.0,0.0,10.0,10.0,50.0,43,1,MisinfoPy
94,80.0,0.0161685803509148,0.3044675021765791,10.0,0.0,3.0,7.0,0.9814755221372012,0.0296119659563395,100.0,0.0,10.0,10.0,50.0,44,1,MisinfoPy
95,76.0,0.0292784707204162,0.3116418414654133,11.0,1.0,3.0,13.0,0.9882869853935184,0.0208771543637324,100.0,0.0,10.0,10.0,50.0,45,1,MisinfoPy
96,76.0,0.0156293030093474,0.2834463496847514,12.0,0.0,3.0,8.0,0.9821409560417576,0.0113338955165811,100.0,0.0,10.0,10.0,50.0,46,1,MisinfoPy
97,79.0,0.0114317577284685,0.2930366811125681,8.0,2.0,2.0,6.0,0.992160479381022,0.0216626715011127,100.0,0.0,10.0,10.0,50.0,47,1,MisinfoPy
98,80.0,0.0218953129930909,0.3275693993033615,11.0,0.0,3.0,7.0,0.9833413177362758,0.0184663751497411,100.0,0.0,10.0,10.0,50.0,48,1,MisinfoPy
99,79.0,0.019907872288691,0.2606261146969253,12.0,0.0,2.0,12.0,0.9896398557743792,0.025697594767068,100.0,0.0,10.0,10.0,50.0,49,1,MisinfoPy
100,80.0,0.0299253839649301,0.2686036932278577,11.0,2.0,2.0,5.0,0.985177411651043,0.0203407351222199,100.0,0.0,10.0,20.0,10.0,0,2,MisinfoPy
101,79.0,0.0111337533725977,0.2734148754443381,8.0,0.0,3.0,6.0,0.9936622762534888,0.0155041632991381,100.0,0.0,10.0,20.0,10.0,1,2,MisinfoPy
102,80.0,0.0150658899662497,0.3165026774305036,10.0,1.0,2.0,6.0,0.9817120085306312,0.0274639197892285,100.0,0.0,10.0,20.0,10.0,2,2,MisinfoPy
103,75.0,0.0104389416481989,0.2898453201200917,12.0,0.0,3.0,10.0,0.982717701047632,0.0263952393509819,100.0,0.0,10.0,20.0,10.0,3,2,MisinfoPy
104,80.0,0.0229946884963286,0.2715953720241978,11.0,2.0,3.0,15.0,0.9847023205679452,0.0120140444315901,100.0,0.0,10.0,20.0,10.0,4,2,MisinfoPy
105,78.0,0.0286360800071595,0.318132389957697,10.0,2.0,3.0,12.0,0.9909461643639204,0.0135154234083271,100.0,0.0,10.0,20.0,10.0,5,2,MisinfoPy
106,79.0,0.0279833720912671,0.2750677270263837,9.0,1.0,3.0,11.0,0.991743563560276,0.0243113637389133,100.0,0.0,10.0,20.0,10.0,6,2,MisinfoPy
107,76.0,0.0123313262967474,0.3315017509095029,9.0,0.0,2.0,5.0,0.9824558707336154,0.0293784887081614,100.0,0.0,10.0,20.0,10.0,7,2,MisinfoPy
108,78.0,0.0222805181799654,0.2632350410263794,11.0,2.0,2.0,14.0,0.9856428572107112,0.0181098169629521,100.0,0.0,10.0,20.0,10.0,8,2,MisinfoPy
109,80.0,0.0144410727229284,0.3030974724516627,9.0,1.0,3.0,8.0,0.9891207245090112,0.0162337916865862,100.0,0.0,10.0,20.0,10.0,9,2,MisinfoPy
110,80.0,0.0155199996825442,0.2876152247375163,10.0,1.0,2.0,7.0,0.9895733215267214,0.0136408701086872,100.0,0.0,10.0,20.0,10.0,10,2,MisinfoPy
111,80.0,0.0283798347978142,0.3075987666071173,12.0,1.0,2.0,13.0,0.9880391573835796,0.0268381909236415,100.0,0.0,10.0,20.0,10.0,11,2,MisinfoPy
112,78.0,0.0238742516506969,0.34053153415885,12.0,1.0,2.0,11.0,0.986251055312106,0.028622735346571,100.0,0.0,10.0,20.0,10.0,12,2,MisinfoPy
113,78.0,0.0202334681746995,0.328822048933258,10.0,0.0,2.0,11.0,0.9926659418264364,0.0279605818990789,100.0,0.0,10.0,20.0,10.0,13,2,MisinfoPy
114,78.0,0.0165423682564252,0.2571720798856116,10.0,1.0,2.0,11.0,0.9800439002137042,0.0238483213618672,100.0,0.0,10.0,20.0,10.0,14,2,MisinfoPy
115,75.0,0.0139572578643493,0.3467476677429714,11.0,2.0,2.0,6.0,0.9925621159078512,0.0149587379329587,100.0,0.0,10.0,20.0,10.0,15,2,MisinfoPy
116,76.0,0.0234024663547501,0.3490911018401743,9.0,1.0,2.0,15.0,0.985022263214491,0.0100232012141731,100.0,0.0,10.0,20.0,10.0,16,2,MisinfoPy
117,76.0,0.0262884099780179,0.2778727352722803,11.0,0.0,3.0,10.0,0.9900284717459232,0.0131598062493048,100.0,0.0,10.0,20.0,10.0,17,2,MisinfoPy
118,77.0,0.0116034383185158,0.2650675266546597,10.0,2.0,3.0,9.0,0.9809674931097712,0.0225062172254371,100.0,0.0,10.0,20.0,10.0,18,2,MisinfoPy
119,75.0,0.0245495458467838,0.2995535167375782,8.0,2.0,3.0,13.0,0.9916351363227272,0.0159203507441027,100.0,0.0,10.0,20.0,10.0,19,2,MisinfoPy
120,77.0,0.0274905572860094,0.312217140634846,11.0,1.0,3.0,12.0,0.988418041320472,0.0142847858302271,100.0,0.0,10.0,20.0,10.0,20,2,MisinfoPy
121,77.0,0.0189941371533705,0.3356417602280681,11.0,2.0,3.0,14.0,0.9872028857311952,0.0124192607782816,100.0,0.0,10.0,20.0,10.0,21,2,MisinfoPy
122,77.0,0.0209604081962267,0.3081888688713352,9.0,0.0,3.0,7.0,0.9836883241383853,0.0116051822505563,100.0,0.0,10.0,20.0,10.0,22,2,MisinfoPy
123,79.0,0.0178985826731951,0.3458139345594649,10.0,1.0,2.0,8.0,0.990446543502186,0.0144989000702763,100.0,0.0,10.0,20.0,10.0,23,2,MisinfoPy
124,77.0,0.0212183466860608,0.2585322053555808,8.0,0.0,2.0,9.0,0.982067473472522,0.019221119320182,100.0,0.0,10.0,20.0,10.0,24,2,MisinfoPy
125,78.0,0.0171644281469936,0.2510343763655922,8.0,1.0,3.0,5.0,0.9844741116573644,0.0245240370892637,100.0,0.0,10.0,20.0,10.0,25,2,MisinfoPy
126,78.0,0.0141011164881213,0.2543645554602683,8.0,2.0,2.0,15.0,0.980570006865624,0.0105600809635183,100.0,0.0,10.0,20.0,10.0,26,2,MisinfoPy
127,77.0,0.0288039002002594,0.3339062572471228,8.0,2.0,2.0,14.0,0.9876688535452244,0.0282027823293031,100.0,0.0,10.0,20.0,10.0,27,2,MisinfoPy
128,76.0,0.012448846621896,0.2811195063142473,9.0,2.0,2.0,8.0,0.988782767814109,0.0108767484183907,100.0,0.0,10.0,20.0,10.0,28,2,MisinfoPy
129,79.0,0.0205464375359693,0.2919314348444234,12.0,1.0,3.0,9.0,0.9871723974749688,0.0229932059028394,100.0,0.0,10.0,20.0,10.0,29,2,MisinfoPy
130,75.0,0.010048341660904,0.3143371026457791,8.0,2.0,2.0,10.0,0.9941862919647434,0.0175953677659886,100.0,0.0,10.0,20.0,10.0,30,2,MisinfoPy
131,75.0,0.0267889428556949,0.3432136850880645,10.0,0.0,2.0,10.0,0.980839650082909,0.0265630001792501,100.0,0.0,10.0,20.0,10.0,31,2,MisinfoPy
132,75.0,0.0193899750225625,0.3001333701207734,12.0,0.0,3.0,15.0,0.9832082300963012,0.0204426076380287,100.0,0.0,10.0,20.0,10.0,32,2,MisinfoPy
133,79.0,0.0180559652549399,0.2798633794927822,9.0,1.0,3.0,11.0,0.9949649761964962,0.0165466737019088,100.0,0.0,10.0,20.0,10.0,33,2,MisinfoPy
134,76.0,0.0227140740920445,0.3368246697878725,8.0,0.0,3.0,14.0,0.9857188734506308,0.0234660955643312,100.0,0.0,10.0,20.0,10.0,34,2,MisinfoPy
135,75.0,0.0248722130915869,0.2848274272775347,11.0,0.0,3.0,13.0,0.9841799573680928,0.021236196859546,100.0,0.0,10.0,20.0,10.0,35,2,MisinfoPy
136,77.0,0.0174922242008906,0.2660267522760609,12.0,2.0,3.0,12.0,0.9863372938435412,0.01687817970596,100.0,0.0,10.0,20.0,10.0,36,2,MisinfoPy
137,76.0,0.0134072426919024,0.2951769716109299,12.0,0.0,2.0,9.0,0.9866891448561678,0.0222635906039256,100.0,0.0,10.0,20.0,10.0,37,2,MisinfoPy
138,78.0,0.0128122553893868,0.3223137647319514,9.0,2.0,2.0,12.0,0.9911871047293532,0.0250664719876734,100.0,0.0,10.0,20.0,10.0,38,2,MisinfoPy
139,76.0,0.025602344875336,0.2534461816563311,9.0,2.0,2.0,7.0,0.9906275873054028,0.0290558105065178,100.0,0.0,10.0,20.0,10.0,39,2,MisinfoPy
140,77.0,0.0240759905631581,0.2976823576069445,8.0,1.0,2.0,5.0,0.9944527233446816,0.0254923023964972,100.0,0.0,10.0,20.0,10.0,40,2,MisinfoPy
141,79.0,0.0268499739730088,0.3203072837914983,10.0,0.0,2.0,15.0,0.9933952793096776,0.0188826506970489,100.0,0.0,10.0,20.0,10.0,41,2,MisinfoPy
142,78.0,0.0187560997332204,0.3259081363072013,12.0,1.0,3.0,8.0,0.9939547475744324,0.0198510707070524,100.0,0.0,10.0,20.0,10.0,42,2,MisinfoPy
143,75.0,0.0253410461441071,0.3396844646252156,9.0,2.0,3.0,6.0,0.9931745327114798,0.0177279686640718,100.0,0.0,10.0,20.0,10.0,43,2,MisinfoPy
144,80.0,0.0161685803509148,0.3044675021765791,10.0,0.0,3.0,7.0,0.9814755221372012,0.0296119659563395,100.0,0.0,10.0,20.0,10.0,44,2,MisinfoPy
145,76.0,0.0292784707204162,0.3116418414654133,11.0,1.0,3.0,13.0,0.9882869853935184,0.0208771543637324,100.0,0.0,10.0,20.0,10.0,45,2,MisinfoPy
146,76.0,0.0156293030093474,0.2834463496847514,12.0,0.0,3.0,8.0,0.9821409560417576,0.0113338955165811,100.0,0.0,10.0,20.0,10.0,46,2,MisinfoPy
147,79.0,0.0114317577284685,0.2930366811125681,8.0,2.0,2.0,6.0,0.992160479381022,0.0216626715011127,100.0,0.0,10.0,20.0,10.0,47,2,MisinfoPy
148,80.0,0.0218953129930909,0.3275693993033615,11.0,0.0,3.0,7.0,0.9833413177362758,0.0184663751497411,100.0,0.0,10.0,20.0,10.0,48,2,MisinfoPy
149,79.0,0.019907872288691,0.2606261146969253,12.0,0.0,2.0,12.0,0.9896398557743792,0.025697594767068,100.0,0.0,10.0,20.0,10.0,49,2,MisinfoPy
150,80.0,0.0299253839649301,0.2686036932278577,11.0,2.0,2.0,5.0,0.985177411651043,0.0203407351222199,100.0,0.0,10.0,20.0,20.0,0,3,MisinfoPy
151,79.0,0.0111337533725977,0.2734148754443381,8.0,0.0,3.0,6.0,0.9936622762534888,0.0155041632991381,100.0,0.0,10.0,20.0,20.0,1,3,MisinfoPy
152,80.0,0.0150658899662497,0.3165026774305036,10.0,1.0,2.0,6.0,0.9817120085306312,0.0274639197892285,100.0,0.0,10.0,20.0,20.0,2,3,MisinfoPy
