,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort,seed
84,751.0,820.55,160.486,0.29828193593843155,23.93,577747
85,861.0,623.98,511.179,0.3385745015922222,60.63,577747
86,890.0,530.83,443.153,0.26259866763701506,74.62,577747
87,937.0,330.37,663.302,0.16970448882898337,102.24,577747
88,880.0,583.88,540.48,0.3492048946519864,70.83,577747
89,870.0,589.17,438.19,0.31081419836094687,66.25,577747
90,883.0,556.97,506.484,0.32387994257385133,66.07,577747
91,751.0,774.15,341.124,0.14239192890029773,53.09,577747
92,853.0,672.36,325.822,0.3227063494346788,49.48,577747
93,843.0,639.33,319.836,0.19621868087901137,44.53,577747
94,930.0,386.6,713.987,0.27332058781283897,101.1,577747
95,902.0,491.18,415.778,0.2541085351984956,62.73,577747
96,831.0,711.53,316.726,0.35729936708406074,43.23,577747
97,766.0,811.74,166.277,0.3422420193021529,25.04,577747
98,841.0,677.55,259.415,0.2797913573596458,39.43,577747
99,679.0,903.28,174.296,0.21616886808668173,23.43,577747
100,933.0,340.12,626.179,0.19963068486984453,109.76,577747
101,899.0,522.89,481.191,0.310416339243617,71.71,577747
102,802.0,757.8,355.528,0.18495295538536086,50.34,577747
103,762.0,811.24,150.589,0.33575376174916294,22.29,577747
104,836.0,689.47,222.133,0.2887373593020566,34.62,577747
105,625.0,955.78,216.427,0.17806894797099607,27.23,577747
106,933.0,335.6,631.867,0.19221690263447605,108.8,577747
107,904.0,501.25,477.138,0.29562837228607003,63.47,577747
108,832.0,687.09,269.842,0.3517099852992754,40.09,577747
109,746.0,880.61,181.232,0.41239642190303016,22.28,577747
110,901.0,503.32,475.634,0.2874339460080414,63.5,577747
111,803.0,684.43,490.729,0.10528151417981926,72.2,577747
112,839.0,697.61,308.079,0.3257401886218436,31.6,577747
113,934.0,337.81,616.917,0.2223306321569268,113.66,577747
114,836.0,673.1,313.431,0.2609979573107552,48.59,577747
115,854.0,610.85,509.18,0.12804126964736542,73.78,577747
116,830.0,691.27,265.169,0.3509548780671044,44.61,577747
117,855.0,625.5,317.834,0.2316742387263921,40.48,577747
118,894.0,530.54,577.654,0.218477125622571,63.21,577747
119,932.0,371.1,790.563,0.1130337924286897,98.0,577747
120,890.0,529.91,436.189,0.27138756078623677,70.33,577747
121,760.0,815.62,149.403,0.35439912717868594,21.8,577747
122,914.0,446.89,765.709,0.3001268689631931,85.87,577747
123,905.0,494.06,505.989,0.2240627978204093,60.62,577747
124,832.0,688.1,231.502,0.30880967315725555,34.98,577747
125,911.0,472.7,507.607,0.22473057535199026,66.69,577747
126,918.0,442.57,803.632,0.22315646787367752,110.86,577747
127,695.0,858.92,160.811,0.21573817326275102,26.78,577747
128,866.0,608.06,452.758,0.3390808012649431,57.31,577747
129,813.0,715.71,277.405,0.2425451846450336,35.5,577747
130,912.0,464.25,772.442,0.27643264058437045,88.59,577747
131,897.0,506.3,475.081,0.2313087685819792,66.67,577747
132,901.0,496.69,491.052,0.22530589625049222,74.22,577747
133,867.0,616.87,481.913,0.3398194513365714,67.46,577747
134,848.0,651.96,285.476,0.29049880174454085,48.84,577747
135,782.0,816.67,184.027,0.34646172688303734,22.7,577747
136,874.0,552.67,479.12,0.17888139109714263,65.96,577747
137,698.0,883.76,178.927,0.20432453670355577,24.81,577747
138,692.0,893.95,173.886,0.22171428571428572,24.68,577747
139,934.0,336.8,627.043,0.1949644074465856,98.18,577747
140,911.0,444.95,874.691,0.12984395871584875,116.29,577747
141,876.0,593.22,488.947,0.3136417592145501,70.24,577747
142,873.0,586.55,441.447,0.27813297222179956,63.51,577747
143,861.0,623.58,303.562,0.26542097196453585,39.86,577747
144,838.0,691.76,258.307,0.3450919035807416,36.47,577747
145,829.0,694.47,229.327,0.3127723930256631,34.7,577747
146,802.0,752.99,318.302,0.26920656442267105,38.88,577747
147,878.0,547.98,479.581,0.174871348026653,76.7,577747
148,758.0,821.22,173.181,0.2825912544498167,25.39,577747
149,782.0,814.36,173.814,0.3798437441121425,23.91,577747
150,838.0,681.69,231.541,0.29240514787443034,39.71,577747
151,883.0,553.9,449.12,0.2719028061237409,67.49,577747
152,916.0,452.65,792.882,0.2511177089559981,94.21,577747
153,758.0,779.75,293.253,0.14534268289406518,36.59,577747
154,916.0,451.79,797.556,0.24829637375212088,91.02,577747
155,826.0,721.55,304.507,0.3457338336973441,32.26,577747
156,932.0,343.62,647.193,0.19559997146147812,107.89,577747
157,764.0,820.02,167.275,0.3659925722759544,20.78,577747
158,792.0,750.16,281.943,0.17356854891834209,34.27,577747
159,782.0,773.75,300.94,0.19625718538287826,38.68,577747
160,892.0,533.2,578.669,0.2115835236379626,65.25,577747
161,852.0,613.57,504.873,0.11517418251763197,66.08,577747
162,704.0,880.76,166.52,0.19244101150429194,28.5,577747
163,892.0,552.81,558.832,0.2817495951975224,59.83,577747
164,932.0,377.36,721.399,0.2695473660141765,93.36,577747
165,886.0,548.12,518.066,0.23741847677612593,77.86,577747
166,769.0,803.27,148.959,0.3300839224440862,21.93,577747
167,776.0,784.55,151.954,0.3163262506687151,22.04,577747
168,887.0,552.71,523.059,0.27856874623587347,58.24,577747
169,928.0,375.95,640.472,0.2673784687056917,95.87,577747
170,772.0,828.57,175.238,0.37644044462573933,20.3,577747
171,893.0,537.87,535.716,0.2343188320223811,77.2,577747
172,816.0,723.55,297.701,0.1772272706516279,49.59,577747
173,837.0,681.06,215.015,0.2761499501826636,39.03,577747
174,833.0,652.3,532.31,0.10895289241010353,70.63,577747
175,930.0,382.82,709.573,0.2861059442377695,91.86,577747
176,852.0,598.55,481.122,0.1224551894889053,72.68,577747
177,901.0,496.25,450.809,0.2553171819742615,60.79,577747
178,909.0,481.21,505.384,0.23925346177001805,62.97,577747
179,833.0,696.86,248.246,0.31533629801665325,31.84,577747
180,929.0,383.19,723.916,0.2554408944567117,95.97,577747
181,869.0,576.02,464.321,0.1669167268599732,80.42,577747
182,805.0,752.22,347.168,0.1501961887451133,52.28,577747
183,753.0,866.42,180.455,0.39091045786031126,25.41,577747
184,842.0,656.42,274.304,0.2889378560917632,45.02,577747
185,892.0,538.63,480.389,0.3245712009219803,59.78,577747
186,840.0,667.86,277.585,0.319202676206014,43.12,577747
187,826.0,736.58,325.03,0.3799980240780207,41.76,577747
188,689.0,890.8,173.403,0.18611331744770981,26.04,577747
189,845.0,668.51,260.319,0.27822005454164045,34.19,577747
190,915.0,444.9,826.47,0.11317462233218675,98.01,577747
191,842.0,660.73,339.786,0.19745368821066567,52.12,577747
192,864.0,616.52,486.006,0.33760767355611937,66.26,577747
193,897.0,516.31,483.242,0.30900913199359104,60.89,577747
194,926.0,397.5,821.959,0.2165288844621514,96.54,577747
195,774.0,798.76,152.896,0.30333310659138835,22.1,577747
196,840.0,674.62,310.113,0.2960574006953177,43.88,577747
197,900.0,518.32,480.811,0.3150675550355966,60.72,577747
198,896.0,499.08,441.538,0.16628044834459374,69.32,577747
199,620.0,962.66,226.692,0.17561644537858204,26.4,577747
200,873.0,601.85,533.505,0.35001815211472137,58.04,577747
201,781.0,801.65,164.729,0.3630760917114845,24.61,577747
202,898.0,493.85,501.938,0.17915103189493434,69.04,577747
203,897.0,501.59,418.699,0.26396901827391733,71.19,577747
204,832.0,662.52,299.903,0.190038618809632,46.17,577747
205,870.0,614.57,477.688,0.34424611049372916,67.79,577747
206,833.0,653.43,322.335,0.20094880765013462,49.96,577747
207,840.0,684.53,320.833,0.32482045638827756,40.34,577747
208,934.0,348.16,669.585,0.15339524413997255,114.41,577747
209,831.0,714.57,305.354,0.3701250656355912,35.22,577747
210,927.0,396.94,737.836,0.2651304178270195,97.28,577747
211,831.0,697.1,248.712,0.317062989480214,39.9,577747
212,841.0,693.07,263.9,0.3188024388972849,31.98,577747
213,843.0,681.68,259.507,0.3456596519627681,35.97,577747
214,897.0,517.67,491.552,0.2791700210166352,74.62,577747
215,838.0,703.43,305.307,0.3329226115952449,32.15,577747
216,898.0,499.72,433.329,0.2293389134999963,74.21,577747
217,825.0,718.88,283.706,0.3377430718945936,33.11,577747
218,839.0,665.31,283.234,0.29019368820262764,41.97,577747
219,882.0,522.38,437.155,0.15889168608196644,65.21,577747
220,827.0,694.63,273.363,0.2342678390704888,35.27,577747
221,632.0,959.79,211.599,0.17882196964821276,26.82,577747
222,924.0,416.93,827.466,0.1733239733239733,95.08,577747
223,845.0,685.51,326.706,0.33040065260792717,47.45,577747
224,857.0,645.01,294.449,0.29943361529974255,44.03,577747
225,869.0,596.79,439.283,0.29236224492374885,58.8,577747
226,686.0,902.68,170.593,0.18740124246541015,23.97,577747
227,827.0,693.12,275.122,0.3347953434295254,41.15,577747
228,930.0,385.9,746.721,0.2358361894278638,93.96,577747
229,919.0,454.4,831.255,0.27087076095128804,112.83,577747
230,893.0,490.39,420.447,0.16167259080715776,67.69,577747
231,867.0,611.85,451.773,0.33814978465222223,64.91,577747
232,889.0,539.49,405.436,0.31289877027267865,72.46,577747
233,833.0,657.71,322.89,0.2149241825527546,47.69,577747
234,902.0,502.21,497.041,0.23042701550164235,65.59,577747
235,855.0,654.76,334.532,0.26048056403271735,45.33,577747
236,698.0,880.44,167.544,0.1402974058989148,27.71,577747
237,893.0,515.45,442.426,0.2931284733573063,63.83,577747
238,768.0,807.77,149.114,0.33949667420969626,20.87,577747
239,885.0,556.15,520.4,0.28467384375663995,67.55,577747
240,854.0,639.45,338.039,0.21614528597958627,47.96,577747
241,809.0,717.24,544.437,0.10625323686410043,77.09,577747
242,929.0,354.9,661.189,0.19787451971585523,98.33,577747
243,778.0,811.02,175.329,0.33507978896632584,24.27,577747
244,831.0,630.9,493.74,0.10931116210827282,70.38,577747
245,924.0,401.78,813.837,0.17105941328061566,115.05,577747
246,930.0,373.19,636.015,0.27249055653487786,94.04,577747
247,909.0,454.51,844.316,0.10812791980357568,114.91,577747
248,832.0,666.38,291.131,0.17820357991738653,50.0,577747
249,837.0,694.24,224.453,0.336149853606601,32.48,577747
250,916.0,446.45,801.726,0.22294770957669657,97.5,577747
251,625.0,968.67,219.831,0.1879754477762125,31.65,577747
252,907.0,475.69,429.086,0.21820526503023835,75.56,577747
253,766.0,808.1,147.403,0.3471030028450845,21.45,577747
254,865.0,618.63,482.588,0.32349581776738107,63.52,577747
255,870.0,601.11,496.076,0.2757474614042695,67.75,577747
256,901.0,500.26,478.876,0.2764028107132985,66.75,577747
257,828.0,698.82,254.817,0.2528768807290414,39.96,577747
258,870.0,585.14,505.317,0.15141587275874985,73.19,577747
259,926.0,385.8,693.869,0.27417971830423543,91.83,577747
260,935.0,367.44,748.767,0.23348976853906808,99.28,577747
261,835.0,696.75,282.753,0.333662078023154,34.1,577747
262,760.0,843.34,192.378,0.33541906558541784,23.41,577747
263,841.0,675.06,260.372,0.292127681412296,36.31,577747
264,937.0,356.02,722.031,0.2024656665004759,93.27,577747
265,842.0,655.72,590.058,0.12805915158856335,79.26,577747
266,781.0,824.92,177.447,0.3765659154292606,21.2,577747
267,881.0,583.58,487.286,0.29644791754751615,74.68,577747
268,738.0,822.39,155.29,0.2844508518277215,25.95,577747
269,820.0,716.62,357.41,0.21400926148052837,49.46,577747
270,896.0,521.3,464.195,0.29141554022459304,67.53,577747
271,777.0,801.37,154.338,0.3606129746750994,22.47,577747
272,890.0,502.4,435.423,0.17031063230999682,69.97,577747
273,783.0,821.78,180.055,0.4027690117451655,24.69,577747
274,773.0,812.4,161.147,0.3678044608197908,24.7,577747
275,834.0,695.22,264.849,0.2758257463476604,38.56,577747
276,827.0,717.83,304.117,0.3372349284895299,36.37,577747
277,844.0,671.33,307.155,0.31768210348255754,38.39,577747
278,875.0,595.3,468.786,0.2713810231459805,66.38,577747
279,839.0,688.09,262.416,0.32947606627799936,38.96,577747
280,863.0,624.02,510.142,0.30979847047300574,73.2,577747
281,615.0,939.2,201.994,0.15309910685462175,31.68,577747
282,795.0,724.62,544.872,0.11729135457661545,73.14,577747
283,842.0,654.19,280.479,0.2870475861239704,38.92,577747
284,885.0,531.28,515.126,0.12721573076753062,70.29,577747
285,929.0,384.07,754.091,0.21430916961042837,103.8,577747
286,927.0,393.65,734.553,0.26359807460890494,89.94,577747
287,877.0,557.19,517.457,0.17714991963867924,77.05,577747
288,864.0,619.18,448.477,0.3439656005902857,61.57,577747
289,833.0,694.81,226.701,0.3223812951558293,33.28,577747
290,887.0,535.76,431.104,0.2730194075587334,71.75,577747
291,840.0,688.06,325.504,0.3194131417852937,42.92,577747
292,919.0,447.01,843.563,0.260760586888173,102.93,577747
293,827.0,727.89,298.583,0.38092318875696635,33.64,577747
294,850.0,662.49,350.994,0.264157615024667,41.66,577747
295,768.0,806.71,149.247,0.35599822811656845,25.1,577747
296,874.0,594.77,524.771,0.3002303864499364,63.9,577747
297,867.0,583.14,478.26,0.1325685637852519,65.91,577747
298,869.0,612.4,485.361,0.3158291798480101,61.58,577747
299,841.0,672.47,263.81,0.2787544013508384,36.78,577747
300,888.0,528.02,526.932,0.17479642256780456,65.04,577747
301,905.0,504.49,474.941,0.3043271935265185,61.08,577747
302,896.0,503.49,400.073,0.274163790024997,68.5,577747
303,889.0,556.71,533.012,0.27340541972545823,63.04,577747
304,758.0,833.46,184.136,0.3307242182092745,26.94,577747
305,852.0,649.35,342.028,0.22990703308571345,49.42,577747
306,862.0,623.56,448.004,0.34512011859553643,62.25,577747
307,781.0,800.15,163.847,0.37517227086679444,22.78,577747
308,770.0,806.79,164.516,0.3705499371201006,22.93,577747
309,936.0,355.76,761.626,0.1627021764549428,95.7,577747
310,921.0,426.19,823.356,0.1780186589037149,98.42,577747
311,902.0,501.53,483.954,0.18393362442833816,66.83,577747
312,887.0,558.51,505.65,0.2689008807157754,64.03,577747
313,922.0,413.23,809.114,0.2182280933248331,112.72,577747
314,835.0,710.9,300.542,0.36088548150521993,32.13,577747
315,699.0,910.88,191.049,0.23725752595268101,23.94,577747
316,867.0,606.52,518.299,0.29929288559366285,70.36,577747
317,723.0,862.2,191.498,0.26051360584285543,25.66,577747
318,823.0,713.11,227.958,0.32004674040055436,39.66,577747
319,928.0,391.15,721.088,0.26766348702436393,101.92,577747
320,689.0,869.57,162.65,0.17282868747565794,27.2,577747
321,910.0,474.71,508.073,0.23676585692125973,61.69,577747
322,764.0,812.53,166.051,0.35887659729353805,24.58,577747
323,936.0,340.41,616.31,0.2310756768888617,113.73,577747
324,869.0,610.77,454.147,0.3202784811401014,65.26,577747
325,824.0,732.2,331.802,0.36274024256408816,44.95,577747
326,926.0,379.49,637.601,0.26377309451373077,110.14,577747
327,730.0,811.24,260.353,0.13803380154311393,45.61,577747
328,933.0,368.12,739.941,0.2333589354825839,95.06,577747
329,769.0,746.49,324.124,0.1463667480925239,45.53,577747
330,854.0,627.99,327.011,0.2145868153648183,49.71,577747
331,741.0,840.47,180.895,0.2934791016682567,23.92,577747
332,818.0,746.71,330.41,0.36426547784740815,42.43,577747
333,931.0,363.99,628.425,0.26443591649349535,105.96,577747
334,836.0,689.43,216.737,0.29967614737327064,34.24,577747
335,888.0,557.63,559.746,0.2754031080108588,61.36,577747
336,902.0,501.94,471.297,0.2719961198222068,61.28,577747
337,873.0,551.44,530.018,0.12604610047615863,67.63,577747
338,638.0,954.76,221.23,0.17411858664708685,31.23,577747
339,817.0,742.77,275.483,0.3871264198801603,36.77,577747
340,862.0,593.46,478.68,0.16769471898700242,75.41,577747
341,845.0,659.17,270.855,0.3159313485641161,45.65,577747
342,730.0,814.92,323.456,0.09935044945203793,50.43,577747
343,848.0,675.93,253.272,0.3137652238844401,39.37,577747
344,896.0,520.35,471.601,0.31248715019988577,60.51,577747
345,932.0,341.55,648.249,0.19748105432369678,94.07,577747
346,934.0,367.95,710.902,0.23705154276819562,98.87,577747
347,842.0,677.03,361.829,0.2359209002387863,48.13,577747
348,769.0,773.87,240.7,0.2272404626369191,41.4,577747
349,928.0,377.72,776.591,0.14047542385671882,98.12,577747
350,838.0,674.55,310.536,0.3009363364913186,39.27,577747
351,892.0,521.26,483.307,0.19943319095144404,75.71,577747
352,855.0,622.37,296.413,0.22753127870037188,42.42,577747
353,924.0,411.45,726.823,0.30411786779373134,95.74,577747
354,895.0,527.78,474.863,0.3191885062040376,65.39,577747
355,864.0,623.79,456.056,0.3495975009011174,58.55,577747
356,727.0,821.26,306.558,0.14484534706839955,43.49,577747
357,903.0,476.94,409.172,0.24302074378620817,65.28,577747
358,896.0,517.28,525.467,0.20492613288616654,67.91,577747
359,937.0,354.9,771.295,0.15404381218716437,97.91,577747
360,797.0,737.25,277.449,0.22299197440133198,35.54,577747
361,833.0,655.85,296.713,0.18797245343300237,48.94,577747
362,929.0,388.08,719.375,0.2690167243367935,99.33,577747
363,934.0,364.53,762.849,0.21093506300596637,92.54,577747
364,839.0,686.3,259.281,0.3210922423774604,38.76,577747
365,927.0,391.36,820.683,0.17546383643885125,98.67,577747
366,777.0,823.87,173.081,0.36205241882905204,26.04,577747
367,823.0,705.6,269.338,0.3584743853536188,44.44,577747
368,861.0,616.28,281.248,0.2539506778956909,44.92,577747
369,904.0,484.83,438.805,0.24066273310778297,74.8,577747
370,836.0,665.7,303.462,0.2622180865932061,40.98,577747
371,909.0,475.63,509.714,0.18524434442041268,78.7,577747
372,902.0,502.82,483.312,0.262358165486815,73.45,577747
373,906.0,486.81,495.915,0.2336115451920238,62.89,577747
374,879.0,580.55,517.392,0.25556678541408157,67.62,577747
375,890.0,517.5,484.073,0.18309734186106696,63.18,577747
376,780.0,814.76,174.271,0.3466855180249974,24.16,577747
377,841.0,705.91,323.435,0.3623285002939489,44.14,577747
378,772.0,826.22,172.706,0.38964117470181414,23.56,577747
379,938.0,346.07,760.11,0.15020685758107807,117.71,577747
380,845.0,665.79,311.191,0.305240795287187,45.53,577747
381,934.0,368.05,760.26,0.20787733042691373,110.11,577747
382,869.0,613.16,456.262,0.3491205215003194,60.68,577747
383,830.0,656.08,602.423,0.1457157152076339,66.88,577747
384,888.0,531.46,414.02,0.3150335639553265,61.79,577747
385,821.0,708.88,244.439,0.26978183218473223,37.16,577747
386,884.0,565.75,474.017,0.267677043096266,70.0,577747
387,782.0,800.88,164.086,0.3607284538991986,23.44,577747
388,766.0,808.38,146.648,0.3514954344141287,22.91,577747
389,874.0,565.64,521.655,0.17962828524868132,63.39,577747
390,799.0,743.38,262.701,0.24157564335673617,35.63,577747
391,833.0,716.93,277.305,0.3685816964505489,32.38,577747
392,812.0,735.22,292.371,0.3076460661008389,40.05,577747
393,775.0,837.08,182.948,0.39849742693465384,24.34,577747
394,863.0,636.18,337.942,0.25400383531394366,46.87,577747
395,827.0,718.01,283.349,0.3196876053489156,32.14,577747
396,782.0,791.15,153.553,0.32100594123870757,24.83,577747
397,793.0,741.04,301.37,0.20209706275335734,41.74,577747
398,936.0,355.11,730.142,0.19250216554863922,98.06,577747
399,887.0,556.77,475.338,0.26540222169508976,67.25,577747
0,867.0,559.27,566.793,0.13646071662295364,65.37,914425
1,821.0,589.31,797.362,0.10476418243076326,105.35,914425
2,861.0,603.71,462.433,0.33669461166303505,71.44,914425
3,891.0,494.33,397.845,0.2565423567806089,58.88,914425
4,897.0,502.59,539.944,0.28682572922973093,55.76,914425
5,901.0,455.83,418.379,0.195695547369849,62.3,914425
6,887.0,495.69,772.677,0.17817536429802622,105.62,914425
7,896.0,512.93,535.247,0.28042076586944525,65.45,914425
8,852.0,637.41,312.65,0.3502652910832719,44.47,914425
9,796.0,730.71,171.464,0.34511339598896834,19.48,914425
10,903.0,475.14,714.697,0.29031755993473074,94.96,914425
11,864.0,597.41,351.592,0.32233558873017576,39.85,914425
12,773.0,735.36,136.396,0.3054895557682563,21.72,914425
13,743.0,786.87,182.655,0.3427607172300082,22.76,914425
14,888.0,523.71,660.642,0.346962187958884,103.81,914425
15,856.0,608.25,303.695,0.3240960985993063,39.5,914425
16,851.0,607.74,370.557,0.22252241844883106,37.9,914425
17,854.0,631.2,341.726,0.337095412534228,40.79,914425
18,808.0,618.0,409.196,0.14491132743503018,62.36,914425
19,815.0,697.83,165.247,0.29483423069966747,20.97,914425
20,913.0,436.52,793.62,0.17806479588676205,92.47,914425
21,776.0,762.37,186.152,0.34659687217267676,23.25,914425
22,761.0,755.97,145.6,0.22161765742895423,22.43,914425
23,661.0,864.0,171.893,0.13598236507146413,26.97,914425
24,680.0,847.25,162.673,0.13930744427309685,23.52,914425
25,840.0,641.37,376.249,0.2843380382347686,44.12,914425
26,873.0,567.4,455.564,0.2919851091066935,69.86,914425
27,856.0,621.31,451.87,0.3750846803272121,64.76,914425
28,884.0,510.87,427.751,0.2353178455587414,73.3,914425
29,839.0,652.32,344.888,0.3516572584405058,42.2,914425
30,845.0,626.78,380.672,0.20167602328758985,44.3,914425
31,848.0,611.3,369.929,0.20971979436343385,38.82,914425
32,914.0,432.3,760.861,0.1803514262628742,104.54,914425
33,758.0,795.7,186.464,0.4135532219099739,20.24,914425
34,880.0,533.82,418.03,0.26901979236233375,66.19,914425
35,624.0,807.36,593.921,0.13544115985690078,69.32,914425
36,794.0,735.97,267.429,0.4078582749629327,32.28,914425
37,686.0,842.77,156.782,0.20270149274612123,21.47,914425
38,878.0,538.62,414.107,0.292723904675863,62.74,914425
39,842.0,632.66,375.857,0.21776135781695807,44.69,914425
40,896.0,489.54,692.689,0.2908328206275519,95.8,914425
41,821.0,713.54,332.498,0.38640434760643483,40.02,914425
42,924.0,407.04,505.11,0.1605661775298936,59.09,914425
43,765.0,648.56,834.399,0.09435807674967513,105.83,914425
44,855.0,610.45,300.124,0.3354179497644047,41.05,914425
45,891.0,517.78,659.161,0.3517590280907696,87.15,914425
46,806.0,715.59,266.804,0.40133664311628797,37.18,914425
47,735.0,783.12,418.651,0.16585582956369474,47.28,914425
48,744.0,780.45,409.127,0.1528700151401567,50.03,914425
49,753.0,735.85,228.199,0.23566946629959332,38.29,914425
50,926.0,361.68,653.726,0.15624680966320462,112.43,914425
51,828.0,679.94,317.788,0.35852322637317213,37.84,914425
52,849.0,615.38,373.253,0.23458484765829457,40.47,914425
53,899.0,464.14,809.806,0.18615623989654057,95.18,914425
54,915.0,443.89,486.943,0.26961840657231334,68.11,914425
55,908.0,467.08,715.991,0.2809371001482625,116.26,914425
56,909.0,428.25,424.43,0.20510164644044215,68.15,914425
57,780.0,739.71,140.686,0.32511040477061126,22.36,914425
58,785.0,717.64,214.873,0.33391059088986036,36.24,914425
59,812.0,708.81,257.041,0.33280531558019355,32.95,914425
60,873.0,566.5,453.48,0.31894721223067596,63.82,914425
61,902.0,459.52,619.867,0.31386595372370724,96.15,914425
62,851.0,620.93,511.544,0.38041653626198535,63.33,914425
63,877.0,565.19,476.894,0.2918648201376187,64.59,914425
